Polling District Polling Station Male Female % Male % Female Voters
Province: 6 MUCHINGA 0
District 002 CHINSALI
Constituency 87 CHINSALI CENTRAL
Ward : 000106002010 , LUBU
Totals for Ward : Polling Districts : 5 1,117 1,064 51.22 48.78 2,181
Ward : 000106003004 , KASOKA
106003001501 MUCHINGA - 1 Muchinga Secondary School-01 296 353 45.61 54.39 649
106003001502 MUCHINGA - 2 Muchinga Secondary School-02 316 333 48.69 51.31 649
106003001601 CHUWI - 1 Chuwi Market Shade-01 437 474 47.97 52.03 911
106003001701 CHIWANDA - 1 Council Welfare-01 419 464 47.45 52.55 883
106003001702 CHIWANDA - 2 Council Welfare-02 250 633 28.31 71.69 883
106003001703 CHIWANDA - 3 Council Welfare-03 635 248 71.91 28.09 883
106003001801 KATONGA SOUTH - 1 Old Region-01 389 466 45.50 54.50 855
106003001802 KATONGA SOUTH - 2 Old Region-02 25 830 2.92 97.08 855
106003001803 KATONGA SOUTH - 3 Old Region-03 737 117 86.30 13.70 854
106003001901 MASI - 1 Masi Primary School-01 174 432 28.71 71.29 606
106003001902 MASI - 2 Masi Primary School-02 366 239 60.50 39.50 605
106003055301 Isoka Correctional Facility - 1 Isoka Correctional Facility-01 172 99 63.47 36.53 271
Totals for Ward : Polling Districts : 12 4,216 4,688 47.35 52.65 8,904
Ward : 000106003005 , KAWENGA
106003002001 MUZEZI - 1 New Apostolic Church-01 377 507 42.65 57.35 884
106003002002 MUZEZI - 2 New Apostolic Church-02 21 863 2.38 97.62 884
106003002003 MUZEZI - 3 New Apostolic Church-03 762 121 86.30 13.70 883
106003002101 KAWENGA - 1 St Monica Catholic Centre-01 250 514 32.72 67.28 764
106003002102 KAWENGA - 2 St Monica Catholic Centre-02 439 325 57.46 42.54 764
106003002201 MALANGO - 1 Malango Primary School-01 258 263 49.52 50.48 521
Totals for Ward : Polling Districts : 6 2,107 2,593 44.83 55.17 4,700
215
Polling District Polling Station Male Female % Male % Female Voters
Ward : 000106003006 , KANTENSHYA
106003002301 CHIPOTE - 1 Chipote UCZ Church-01 228 213 51.70 48.30 441
106003002401 KANTENSHYA - 1 Mwenitawa Primary School-01 385 390 49.68 50.32 775
106003002501 PYUNGA - 1 Mutonda Primary School-01 272 297 47.80 52.20 569
106003002601 KAKOKO - 1 Kakoko Primary School-01 114 108 51.35 48.65 222
106003002701 LONDAMAKA - 1 Londamaka Primary School-01 268 292 47.86 52.14 560
106003002801 MUPAPA - 1 Pentecostal Holiness Church-01 116 105 52.49 47.51 221
106003002901 CHINUNGU - 1 Chinungu Community School-01 85 117 42.08 57.92 202
Totals for Ward : Polling Districts : 7 1,468 1,522 49.10 50.90 2,990
Ward : 000106003007 , KAPILILONGA
106003003001 CHILANGA - 1 Chilanga Primary School-01 344 367 48.38 51.62 711
106003003101 TUTA - 1 Tuta Primary School-01 300 352 46.01 53.99 652
106003003201 CHISANGA - 1 Chisanga Community School-01 72 83 46.45 53.55 155
106003003301 KAPILILONGA - 1 Kapililonga Primary School-01 76 536 12.42 87.58 612
106003003302 KAPILILONGA - 2 Kapililonga Primary School-02 503 109 82.19 17.81 612
106003003401 NDEKE - 1 Ndeke Primary School-01 440 500 46.81 53.19 940
Totals for Ward : Polling Districts : 6 1,735 1,947 47.12 52.88 3,682
Ward : 000106003008 , KALUNGU
106003003501 CHIPOKOSO - 1 Chipokoso Primary School-01 165 141 53.92 46.08 306
106003003601 NAKAMALA - 1 Nakamala Primary School-01 151 158 48.87 51.13 309
106003003701 NACHANGA - 1 Nachanga Primary School-01 213 243 46.71 53.29 456
106003003801 KALUNGU - 1 Kalungu Primary School-01 114 667 14.60 85.40 781
106003003802 KALUNGU - 2 Kalungu Primary School-02 658 123 84.25 15.75 781
106003003901 NACHITEMA - 1 Nachitema B Health Post-01 102 124 45.13 54.87 226
Totals for Ward : Polling Districts : 6 1,403 1,456 49.07 50.93 2,859
Totals for Constituency : ISOKA 42 12,046 13,270 25,316
Constituency 193 NKOMBWA
Ward : 000106003001 , MILONGO
106003000101 KAWAMA - 1 Kawama Primary School-01 130 153 45.94 54.06 283
106003000201 MILONGO - 1 Milongo Primary School-01 297 321 48.06 51.94 618
106003000301 CHEWA - 1 Chewa Primary School-01 172 174 49.71 50.29 346
Totals for Ward : Polling Districts : 3 599 648 48.04 51.96 1,247
Ward : 000106003003 , CHINYONGA
106003000901 KAZILAMAWE - 1 Prince of care Community School-01 100 114 46.73 53.27 214
106003001001 CHINYONGA - 1 Chinyansi Primary School-01 378 391 49.15 50.85 769
106003001101 KAUMBA - 1 Kaumba Primary School-01 129 77 62.62 37.38 206
106003001201 MALALE - 1 Malale Primary School-01 143 133 51.81 48.19 276
106003001301 NTIPO - 1 Ntipo Primary School-01 425 449 48.63 51.37 874
106003001401 KALENGA - 1 Mwaiseni Village-01 430 522 45.17 54.83 952
Totals for Ward : Polling Districts : 6 1,605 1,686 48.77 51.23 3,291
Ward : 000106003009 , SANSAMWENJE
106003004001 KAMEKELA - 1 Kamekela Primary School-01 140 163 46.20 53.80 303
106003004101 MWINILYATWA - 1 Mwinilyatwa UCZ Church-01 141 187 42.99 57.01 328
106003004201 SANSAMWENJE - 1 Sansamwenje Primary School-01 215 665 24.43 75.57 880
106003004202 SANSAMWENJE - 2 Sansamwenje Primary School-02 636 244 72.27 27.73 880
106003004301 NAMYALA - 1 Namyala Primary School-01 141 167 45.78 54.22 308
106003004401 CHIKANA - 1 Chikana Primary School-01 128 146 46.72 53.28 274
216
Polling District Polling Station Male Female % Male % Female Voters
106003004501 NACHISUNGU - 1 Nachisungu Primary School-01 260 260 50.00 50.00 520
Totals for Ward : Polling Districts : 7 1,661 1,832 47.55 52.45 3,493
Ward : 000106003010 , MPUNGU
106003004601 KASOBA - 1 Chaswata Primary School-01 551 265 67.52 32.48 816
106003004602 KASOBA - 2 Chaswata Primary School-02 161 654 19.75 80.25 815
106003004603 KASOBA - 3 Chaswata Primary School-03 643 172 78.90 21.10 815
106003004701 MPALAKATA - 1 Mpalakata UCZ Church-01 179 228 43.98 56.02 407
106003004801 CHILUMBA - 1 Chilumba Primary School-01 321 307 51.11 48.89 628
106003004802 CHILUMBA - 2 Chilumba Primary School-02 379 249 60.35 39.65 628
106003004901 CHUBA - 1 Nalutete Primary School-01 519 442 54.01 45.99 961
Totals for Ward : Polling Districts : 7 2,753 2,317 54.30 45.70 5,070
Ward : 000106003011 , KANYALA
106003005001 CHITUNJI - 1 Chitunji Community School-01 178 183 49.31 50.69 361
106003005101 KANYALA - 1 Kanyala Primary School-01 258 376 40.69 59.31 634
106003005102 KANYALA - 2 Kanyala Primary School-02 423 211 66.72 33.28 634
106003005201 IPATA - 1 Ipata Community School-01 139 127 52.26 47.74 266
106003005301 NZOCHE - 1 Nzoche Primary School-01 145 440 24.79 75.21 585
106003005302 NZOCHE - 2 Nzoche Primary School-02 390 194 66.78 33.22 584
106003005401 KASAKALAWE - 1 Nyembe Community School-01 266 255 51.06 48.94 521
106003005501 LWENDA - 1 Lwenda Community School-01 211 233 47.52 52.48 444
Totals for Ward : Polling Districts : 8 2,010 2,019 49.89 50.11 4,029
Ward : 000106003012 , KABANDAMA
106003005601 NAMBALE - 1 Nambale Primary School-01 149 164 47.60 52.40 313
106003005701 NDANDE - 1 Ndande Primary School-01 98 114 46.23 53.77 212
106003005801 CHIZONGOLO - 1 Chizongolo UCZ Church-01 89 129 40.83 59.17 218
Totals for Ward : Polling Districts : 3 336 407 45.22 54.78 743
Ward : 000106003013 , LUANGWA
106003005901 PWAZI - 1 Muyeleka Primary School-01 195 248 44.02 55.98 443
106003006001 IPENZA - 1 Ipenza Community School-01 87 85 50.58 49.42 172
106003006101 KAMPUMBU - 1 Kampumbu Primary School-01 465 509 47.74 52.26 974
106003006201 FIGOLO - 1 Figolo Community School-01 77 96 44.51 55.49 173
106003006301 KABONDE - 1 Kabonde UCZ Church-01 136 165 45.18 54.82 301
106003006401 ROBERT VILLAGE - 1 African National Church-01 138 132 51.11 48.89 270
106003006501 MPANDWA - 1 Mpandwa Primary School-01 284 359 44.17 55.83 643
